,ticker,title,summary,source,source_domain,time_published,overall_sentiment_score,overall_sentiment_label
0,AAPL,Consumer Discretionary Stocks Q3 Teardown: Apple (NASDAQ:AAPL) Vs The Rest,"This article provides a Q3 teardown of consumer discretionary stocks, focusing on Apple (NASDAQ:AAPL) and contrasting its performance with several peers. It highlights Apple's strong quarter with revenues up 7.9% year-on-year, outperforming expectations, while also reviewing the best performers like American Outdoor Brands and weaker ones such as PlayStudios. The report examines how various companies in this sector are adapting to evolving consumer trends and their respective stock reactions to earnings reports.",Finviz,Finviz,2026-01-04 22:34:00,0.273852,Somewhat-Bullish
1,AAPL,【即時新聞】FT Vest U.S. Equity Buffer & Premium Income ETF - March 宣布月度分配,"FT Vest U.S. Equity Buffer & Premium Income ETF - March (XIMR) has announced a monthly distribution of $0.1636 per unit. This payment is scheduled for January 5, 2026, to shareholders registered by January 2, 2026, which is also the ex-dividend date. Despite a slight increase in share price, the ETF experienced a significant 74.43% drop in trading volume, with only 1428 shares traded.",理財寶,理財寶,2026-01-04 22:09:17,0.061261,Neutral
2,AAPL,Apple stock heads into Monday under a valuation spotlight after Raymond James turns neutral on AAPL,"Raymond James has initiated coverage on Apple (AAPL) with a ""market perform"" (neutral) rating, citing a rich valuation and a lack of immediate catalysts, despite Apple ending Friday down about 0.3%. Investors are focusing on Apple's upcoming holiday-quarter earnings, iPhone demand, Services growth, and the impact of Apple Intelligence. The stock is about 6% below its 52-week high, with macroeconomic factors like jobs data and the Federal Reserve meeting influencing investor sentiment.",ts2.tech,ts2.tech,2026-01-04 21:55:33,0.084988,Neutral
3,AAPL,"At CES, Mercedes-Benz CLA Features Xperi Video Platform","Mercedes-Benz is showcasing its new CLA electric hybrid car model at CES, which integrates Xperi’s DTS AutoStage Video system based on its TiVo platform. This marks the fifth OEM to adopt Xperi's video platform. Additionally, Mercedes-Benz will highlight its GLC model with the AI-based MB.OS platform, featuring integrations from Microsoft, Google, and Spatial Audio with Dolby Atmos.",Radio World,Radio World,2026-01-04 18:08:56,0.201609,Somewhat-Bullish
4,AAPL,Apple stock starts 2026 on a slip as valuation debate heats up ahead of Jan. 29 earnings,"Apple Inc. (AAPL.O) shares closed down 0.31% at $271.01 on Friday, underperforming a flat Nasdaq on the first trading day of 2026. Raymond James resumed coverage with a ""Market Perform"" rating, citing valuation concerns and a thin near-term catalyst calendar. Investors are now focused on the upcoming U.S. jobs report, the Fed's meeting, and Apple's Q4 earnings call on January 29th, where iPhone demand and services growth will be scrutinized.",ts2.tech,ts2.tech,2026-01-04 15:09:26,0.114468,Neutral
5,AAPL,Is DFAC ETF Still A Buy After 15% Run?,"The Dimensional U.S. Core Equity 2 ETF (DFAC) gained 15% over the last year, matching the S&P 500 despite its factor-based approach. While DFAC includes mega-cap tech stocks, its small-cap holdings face headwinds from rising 10-year Treasury yields and the struggles of unprofitable Russell 2000 companies. Investors should monitor interest rates and DFAC's quarterly fact sheets to assess its future performance, especially compared to more focused small-cap value funds like AVUV.",24/7 Wall St.,24/7 Wall St.,2026-01-04 14:09:25,0.076119,Neutral
6,AAPL,Apple Inc. Stock (AAPL) Opinions on iPhone 17 Launch,"Social media is abuzz with excitement over the successful iPhone 17 launch and strong early sales, sparking optimism for Apple's 2026 growth despite concerns about AI rollout delays and valuation. Insiders have primarily sold shares, while congressional members show mixed trading activity. Hedge funds have made significant moves in their Apple holdings.",Quiver Quantitative,Quiver Quantitative,2026-01-04 14:07:38,0.104441,Neutral
7,AAPL,The Ascent of the iShares MSCI World ETF: A Tech-Heavy Trajectory,"The iShares MSCI World ETF (URTH) is trading near all-time highs of $187 per share at the start of 2026, driven by a 22% one-year return primarily from its significant holdings in major technology companies. Despite its ""World"" designation, the ETF is heavily concentrated in U.S. equities, with approximately 75% in U.S. stocks and nearly 28% in information technology. Its future trajectory in Q1 2026 will largely depend on tech earnings, currency effects, and its elevated valuation levels.",AD HOC NEWS,AD HOC NEWS,2026-01-04 13:09:57,0.225242,Somewhat-Bullish
8,AAPL,This $10.2 Billion ETF Tries to Beat the Market Through Size and Profitability Tilts (But VTI Costs Less),"The Dimensional US Core Equity Market ETF (DFAU) seeks to outperform the S&P 500 by tilting its portfolio towards smaller companies and higher profitability firms within a market-weighted framework. While DFAU has shown outperformance since its November 2020 inception, it charges a higher expense ratio of 0.12% compared to Vanguard Total Stock Market ETF (VTI)'s 0.03%. Investors must weigh DFAU's potential long-term gains from factor tilts against its higher cost and potential short-term tracking error.",24/7 Wall St.,24/7 Wall St.,2026-01-04 13:09:48,0.292229,Somewhat-Bullish
9,AAPL,Investors Find Choices in Dimensional US Core Equity Market ETF,"The Dimensional US Core Equity Market ETF (DFAU) offers a unique approach to US equity exposure by tilting towards smaller and more profitable companies, distinguishing itself from the market-cap-weighted Vanguard Total Stock Market ETF (VTI). While DFAU has shown strong returns since its inception and appeals to investors seeking factor-based strategies, it comes with a higher expense ratio and sector-specific risks, particularly with its concentration in tech giants like Nvidia and Apple. Investors must weigh DFAU's potential for enhanced returns against VTI's lower costs and broader market alignment.",cointurk finance,cointurk finance,2026-01-04 13:09:48,0.189497,Somewhat-Bullish
