title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment,ticker
"Apple Marketing Chief for Watch, AirPods, Home and Health Retires",https://www.bloomberg.com/news/articles/2026-04-17/apple-watch-airpods-home-and-health-marketing-chief-stan-ng-retires,2026-04-17 04:14:02,['Mark Gurman'],"Stan Ng, Apple's marketing executive for the Apple Watch, AirPods, health, and smart home initiatives, is retiring after 31 years with the company. Ng was instrumental in the original Apple Watch and oversaw subsequent product development, marking a significant change for these key product lines.",https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iHmmlVcYO4qc/v0/-1x-1.webp,Bloomberg.com,General,Bloomberg.com,"[{'topic': 'technology', 'relevance_score': '0.822891'}]",-0.109092,Neutral,"[{'ticker': 'AAPL', 'relevance_score': '1.000000', 'ticker_sentiment_score': '-0.114048', 'ticker_sentiment_label': 'Neutral'}]",AAPL
Activest Wealth Management Increases Stake in Asian Equity ETF,https://www.harianbasis.co/en/activest-wealth-increases-asia-etf,2026-04-16 23:10:17,['Christopher Williams'],"Activest Wealth Management significantly increased its holdings in the iShares MSCI All Country Asia ex Japan ETF (AAXJ) by purchasing 57,758 additional shares, bringing its total to 79,823 shares. This acquisition, valued at approximately $5.8 million, makes AAXJ 1.35% of the firm's total 13F assets under management, though the firm still prioritizes US-based ETFs and technology stocks. The AAXJ fund has shown strong performance, increasing by 51% over the past year and outperforming the S&P 500.",https://cdn.harianbasis.co/media/images/2026/04/Qv4v5eyiE2.jpeg?location=1&width=&height=&quality=90&fit=1,HarianBasis.co,General,HarianBasis.co,"[{'topic': 'financial_markets', 'relevance_score': '0.942839'}, {'topic': 'finance', 'relevance_score': '0.712806'}]",0.301183,Somewhat-Bullish,"[{'ticker': 'AAXJ', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.413549', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.622830', 'ticker_sentiment_score': '0.171170', 'ticker_sentiment_label': 'Somewhat-Bullish'}]",AAPL
"Top Stock Reports for NVIDIA, Apple & Coca-Cola",https://sg.finance.yahoo.com/news/top-stock-reports-nvidia-apple-205600679.html,2026-04-16 22:36:59,['Mark Vickery'],"Zacks Research Daily has released new research reports on 16 major stocks, including NVIDIA, Apple, and Coca-Cola, highlighting their recent performance and future outlook. The reports emphasize NVIDIA's AI growth despite supply concerns, Apple's strong iPhone and Services revenue, and Coca-Cola's robust portfolio and dividend growth. The analysis also covers micro-cap stocks Universal Health Realty Income and The Cato Corp., detailing their financial health and market position.",https://s.yimg.com/ny/api/res/1.2/Soiqtd2LTkNdE5jYUxroOw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTYwNQ--/https://media.zenfs.com/en/zacks.com/188198a223a8c3b598f95bc0f5aae696,Yahoo Finance Singapore,General,Yahoo Finance Singapore,"[{'topic': 'earnings', 'relevance_score': '0.948725'}, {'topic': 'financial_markets', 'relevance_score': '0.835981'}, {'topic': 'technology', 'relevance_score': '0.729889'}, {'topic': 'life_sciences', 'relevance_score': '0.743174'}, {'topic': 'retail_wholesale', 'relevance_score': '0.630213'}]",0.205097,Somewhat-Bullish,"[{'ticker': 'AAPL', 'relevance_score': '0.970455', 'ticker_sentiment_score': '0.344899', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.922239', 'ticker_sentiment_score': '0.277328', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'KO', 'relevance_score': '0.920552', 'ticker_sentiment_score': '0.120729', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JBL', 'relevance_score': '0.606687', 'ticker_sentiment_score': '0.217162', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PFE', 'relevance_score': '0.550575', 'ticker_sentiment_score': '0.114757', 'ticker_sentiment_label': 'Neutral'}]",AAPL
"Credit Rating Agencies: Definition, factors and examples",https://www.stonex.com/en-gb/business/financial-glossary/credit-rating-agency/,2026-04-16 21:09:19,[],"Credit rating agencies (CRAs) assess the creditworthiness of entities like governments and corporations, providing ratings that indicate the likelihood of default on debt instruments. Major CRAs include Moody's, S&P Global Ratings, and Fitch Ratings, which influence global financial markets, borrowing costs, and investment decisions. The article details how CRAs work, the factors they consider, and their role and regulation in financial stability, especially after the scrutiny following the 2008 financial crisis.",https://marketingcenter.stonex.com/transform/a492c88e-b529-4acb-b000-892d4fd7ac08/StoneX-Globe?io=transform%3Afill%2Cwidth%3A544&io=overlay%3Abox%2Ccolor%3A000%2Copacity%3A25,www.stonex.com,General,www.stonex.com,"[{'topic': 'finance', 'relevance_score': '1.000000'}, {'topic': 'financial_markets', 'relevance_score': '0.834495'}, {'topic': 'economy_macro', 'relevance_score': '0.632805'}]",0.356736,Bullish,"[{'ticker': 'SNEX', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.330806', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MCO', 'relevance_score': '0.926992', 'ticker_sentiment_score': '0.309580', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'SPGI', 'relevance_score': '0.894381', 'ticker_sentiment_score': '0.329696', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.730756', 'ticker_sentiment_score': '0.389030', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'MS', 'relevance_score': '0.638385', 'ticker_sentiment_score': '0.341033', 'ticker_sentiment_label': 'Somewhat-Bullish'}]",AAPL
NVIDIA tops Adams fund holdings as Q1 NAV return slips 4.8%,https://www.stocktitan.net/news/ADX/adams-diversified-equity-fund-announces-first-quarter-2026-wzsl69ff1eif.html,2026-04-16 20:39:37,[],"Adams Diversified Equity Fund (ADX) announced its Q1 2026 performance, with a Net Asset Value (NAV) total return of -4.8% and a market price total return of -4.2%. Despite the quarterly slip, the fund's net assets increased to $2.855 billion, and it maintained an annualized 1-year NAV return of 17.8% and a market price return of 25.2%. NVIDIA Corporation was the top holding, accounting for 7.7% of net assets, while Information Technology represented 32.4% of the portfolio.",https://ml.globenewswire.com/media/MjllMGQ2ZTMtNWVmNy00YTg5LTg3YWItZWIzNjcwNTBhNzllLTEyMTU2OTEtMjAyNi0wNC0xNi1lbg==/tiny/Adams-Diversified-Equity-Fund-.png,Stock Titan,General,Stock Titan,"[{'topic': 'earnings', 'relevance_score': '0.914703'}, {'topic': 'financial_markets', 'relevance_score': '0.815917'}, {'topic': 'finance', 'relevance_score': '0.718439'}, {'topic': 'technology', 'relevance_score': '0.646579'}]",0.204819,Somewhat-Bullish,"[{'ticker': 'ADX', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.046662', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.875347', 'ticker_sentiment_score': '0.336521', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.714222', 'ticker_sentiment_score': '0.291884', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOGL', 'relevance_score': '0.661169', 'ticker_sentiment_score': '0.244620', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.630647', 'ticker_sentiment_score': '0.226598', 'ticker_sentiment_label': 'Somewhat-Bullish'}]",AAPL
Adams Diversified Equity Fund Reports -4.8% Total Return for Q1 2026,https://www.quiverquant.com/news/Adams+Diversified+Equity+Fund+Reports+-4.8%25+Total+Return+for+Q1+2026,2026-04-16 20:39:37,[],"Adams Diversified Equity Fund (ADX) reported a -4.8% total return on its net asset value for the first quarter of 2026, trailing the S&P 500 and Morningstar U.S. Large Blend category. Despite this short-term underperformance, the fund's net assets grew to $2.85 billion, and its long-term annualized returns remain strong against benchmarks. The fund, heavily invested in Information Technology with top holdings like NVIDIA and Apple, also maintains an 8% annual distribution rate for shareholders.",https://www.quiverquant.com/images/adx_rect_new.png,Quiver Quantitative,General,Quiver Quantitative,"[{'topic': 'earnings', 'relevance_score': '0.903537'}, {'topic': 'financial_markets', 'relevance_score': '0.837761'}, {'topic': 'finance', 'relevance_score': '0.708177'}]",0.088649,Neutral,"[{'ticker': 'ADX', 'relevance_score': '1.000000', 'ticker_sentiment_score': '-0.236812', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'NVDA', 'relevance_score': '0.643822', 'ticker_sentiment_score': '0.136910', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.610781', 'ticker_sentiment_score': '0.147100', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOGL', 'relevance_score': '0.631483', 'ticker_sentiment_score': '0.113369', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.617662', 'ticker_sentiment_score': '0.131321', 'ticker_sentiment_label': 'Neutral'}]",AAPL
"Apple to close 3 retail stores in June, including San Diego",https://fox5sandiego.com/news/local-news/apple-store-closure-san-diego/,2026-04-16 20:07:01,['Isabella Paoletto'],"Apple announced it will permanently close three retail stores in June, located in Connecticut, Maryland, and Escondido, California. The decision is attributed to ""declining conditions"" in the malls where the stores are located and follows the departure of other retailers. The closure of the Maryland store, which was the first Apple store to unionize, has sparked outrage from the union, which suspects the closure is an attempt to bust the union and is exploring legal options.",https://fox5sandiego.com/wp-content/uploads/sites/15/2026/04/Image-2-1.jpg?strip=1,FOX 5 San Diego & KUSI News,General,FOX 5 San Diego & KUSI News,"[{'topic': 'retail_wholesale', 'relevance_score': '0.944045'}, {'topic': 'technology', 'relevance_score': '0.807145'}, {'topic': 'economy_macro', 'relevance_score': '0.633856'}]",-0.287181,Somewhat-Bearish,"[{'ticker': 'AAPL', 'relevance_score': '1.000000', 'ticker_sentiment_score': '-0.288042', 'ticker_sentiment_label': 'Somewhat-Bearish'}]",AAPL
iShares MSCI World ETF: A Fee Premium Tested by Record Profits,https://www.ad-hoc-news.de/boerse/ueberblick/ishares-msci-world-etf-a-fee-premium-tested-by-record-profits/69175063,2026-04-16 17:09:44,[],"The iShares MSCI World ETF is navigating both significant gains from tech and financial sector earnings and increasing scrutiny over its 0.24% expense ratio amidst a fee war. The fund has been boosted by strong performance from US technology giants and record financial sector results. However, challenges such as new US tariffs and upcoming MSCI index reclassifications, alongside competitor ETFs offering much lower fees, threaten its market position despite institutional loyalty and tight tracking difference.",https://mdb.ad-hoc-news.de/bild/bild-2561851_480_300.webp,AD HOC NEWS,General,AD HOC NEWS,"[{'topic': 'earnings', 'relevance_score': '0.920301'}, {'topic': 'financial_markets', 'relevance_score': '1.000000'}, {'topic': 'economy_monetary', 'relevance_score': '0.836506'}, {'topic': 'economy_macro', 'relevance_score': '0.920737'}, {'topic': 'technology', 'relevance_score': '0.806308'}]",0.324665,Somewhat-Bullish,"[{'ticker': 'URTH', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.282397', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.609988', 'ticker_sentiment_score': '0.325601', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.636284', 'ticker_sentiment_score': '0.321858', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.632061', 'ticker_sentiment_score': '0.348177', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'JPM', 'relevance_score': '0.554554', 'ticker_sentiment_score': '0.355963', 'ticker_sentiment_label': 'Bullish'}]",AAPL
"S&P 500, Nasdaq 100 Hit New Records On Trump's Ceasefire Efforts - Apple (NASDAQ:AAPL), Abbott Laboratori",https://www.benzinga.com/markets/market-summary/26/04/51866579/sp-500-nasdaq-100-record-highs-oil-surges-trump-israel-lebanon-ceasefire-markets-thursday,2026-04-16 17:07:02,['Piero Cingari'],"The S&P 500 and Nasdaq 100 reached new record highs on Thursday, with the S&P 500 advancing to 7,038.57 and the Nasdaq 100 rallying 0.6% to 26,359. This surge is attributed to optimism surrounding President Donald Trump's declared 10-day ceasefire between Israeli and Lebanese leaders. Despite rising oil prices due to potential Hormuz toll legislation, the market reacted positively to the ceasefire news, with the energy and tech sectors showing strong performance while healthcare declined.",https://cdn.benzinga.com/files/images/story/2025/07/24/article-header-background-image.png?quality=85&auto=webp&width=1300,Benzinga,General,Benzinga,"[{'topic': 'financial_markets', 'relevance_score': '0.936383'}, {'topic': 'energy_transportation', 'relevance_score': '0.712878'}, {'topic': 'technology', 'relevance_score': '0.727601'}, {'topic': 'earnings', 'relevance_score': '0.708523'}, {'topic': 'life_sciences', 'relevance_score': '0.601926'}]",-0.19541,Somewhat-Bearish,"[{'ticker': 'AAPL', 'relevance_score': '0.905023', 'ticker_sentiment_score': '-0.200203', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'ABT', 'relevance_score': '0.709135', 'ticker_sentiment_score': '-0.432546', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'SCHW', 'relevance_score': '0.703705', 'ticker_sentiment_score': '-0.408312', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'PEP', 'relevance_score': '0.611336', 'ticker_sentiment_score': '0.449634', 'ticker_sentiment_label': 'Bullish'}]",AAPL
Apple releases 2026 environmental progress report,https://www.recyclingtoday.com/news/apple-releases-2026-environmental-progress-report/,2026-04-16 15:29:58,['Audrey Trevarthan'],"Apple has released its 2026 environmental progress report, highlighting that 30 percent of materials across all products shipped in 2025 came from recycled content. Key achievements include using 100 percent recycled cobalt in batteries and rare earth elements in magnets, and removing plastic from packaging. The company also introduced new recycling technologies like Cora and A.R.I.S. and expanded its use of renewable energy.",https://www.recyclingtoday.com/remote/aHR0cHM6Ly9naWVjZG4uYmxvYi5jb3JlLndpbmRvd3MubmV0L2ZpbGV1cGxvYWRzL2ltYWdlLzIwMjYvMDQvMTYvYXBwbGUtZW52aXJvbm1lbnRhbHJlcG9ydC13ZWIuanBn.AwBZYAEkfRI.jpg?format=webp,Recycling Today,General,Recycling Today,"[{'topic': 'technology', 'relevance_score': '1.000000'}, {'topic': 'manufacturing', 'relevance_score': '0.819837'}, {'topic': 'retail_wholesale', 'relevance_score': '0.725829'}, {'topic': 'energy_transportation', 'relevance_score': '0.624648'}]",0.443118,Bullish,"[{'ticker': 'AAPL', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.403691', 'ticker_sentiment_label': 'Bullish'}]",AAPL
